character_name,role,tier,character_url
Cyno,Main DPS,B,https://game8.co/games/Genshin-Impact/archives/315233
Tartaglia,Main DPS,B,https://game8.co/games/Genshin-Impact/archives/305862
Wanderer,Main DPS,B,https://game8.co/games/Genshin-Impact/archives/309656
Yoimiya,Main DPS,B,https://game8.co/games/Genshin-Impact/archives/333497
Diluc,Main DPS,B,https://game8.co/games/Genshin-Impact/archives/297518
Itto,Main DPS,B,https://game8.co/games/Genshin-Impact/archives/345461
Ayato,Main DPS,B,https://game8.co/games/Genshin-Impact/archives/345514
Ganyu,Main DPS,B,https://game8.co/games/Genshin-Impact/archives/312173
Tighnari,Main DPS,B,https://game8.co/games/Genshin-Impact/archives/382082
Rosaria,Sub-DPS,B,https://game8.co/games/Genshin-Impact/archives/314177
Ganyu,Sub-DPS,B,https://game8.co/games/Genshin-Impact/archives/312173
Kokomi,Sub-DPS,B,https://game8.co/games/Genshin-Impact/archives/337140
Thoma,Sub-DPS,B,https://game8.co/games/Genshin-Impact/archives/337141
Beidou,Sub-DPS,B,https://game8.co/games/Genshin-Impact/archives/297528
Collei,Sub-DPS,B,https://game8.co/games/Genshin-Impact/archives/382079
Jahoda,Sub-DPS,B,https://game8.co/games/Genshin-Impact/archives/538446
Lynette,Sub-DPS,B,https://game8.co/games/Genshin-Impact/archives/345879
Kaeya,Sub-DPS,B,https://game8.co/games/Genshin-Impact/archives/297516
Sigewinne,Support,B,https://game8.co/games/Genshin-Impact/archives/352956
Diona,Support,B,https://game8.co/games/Genshin-Impact/archives/305872
Faruzan,Support,B,https://game8.co/games/Genshin-Impact/archives/391897
Yun Jin,Support,B,https://game8.co/games/Genshin-Impact/archives/314345
Gorou,Support,B,https://game8.co/games/Genshin-Impact/archives/336726
Charlotte,Support,B,https://game8.co/games/Genshin-Impact/archives/412428
Kirara,Support,B,https://game8.co/games/Genshin-Impact/archives/409556
Dehya,Support,B,https://game8.co/games/Genshin-Impact/archives/Dehya-Best-Builds
Sara,Support,B,https://game8.co/games/Genshin-Impact/archives/336727
Sethos,Main DPS,C,https://game8.co/games/Genshin-Impact/archives/451024
Ifa,Main DPS,C,https://game8.co/games/Genshin-Impact/archives/472693
Mizuki,Main DPS,C,https://game8.co/games/Genshin-Impact/archives/492414
Keqing,Main DPS,C,https://game8.co/games/Genshin-Impact/archives/Keqing-Best-Builds
Noelle,Main DPS,C,https://game8.co/games/Genshin-Impact/archives/297523
Eula,Main DPS,C,https://game8.co/games/Genshin-Impact/archives/328764
Yanfei,Main DPS,C,https://game8.co/games/Genshin-Impact/archives/328765
Heizou,Main DPS,C,https://game8.co/games/Genshin-Impact/archives/345516
Kachina,Sub-DPS,C,https://game8.co/games/Genshin-Impact/archives/462004
Dehya,Sub-DPS,C,https://game8.co/games/Genshin-Impact/archives/Dehya-Best-Builds
Lisa,Sub-DPS,C,https://game8.co/games/Genshin-Impact/archives/Lisa-Best-Builds
Chongyun,Sub-DPS,C,https://game8.co/games/Genshin-Impact/archives/297532
Sayu,Sub-DPS,C,https://game8.co/games/Genshin-Impact/archives/333496
Jahoda,Support,C,https://game8.co/games/Genshin-Impact/archives/538446
Mika,Support,C,https://game8.co/games/Genshin-Impact/archives/390096
Mizuki,Support,C,https://game8.co/games/Genshin-Impact/archives/492414
Dahlia,Support,C,https://game8.co/games/Genshin-Impact/archives/516026
Barbara,Support,C,https://game8.co/games/Genshin-Impact/archives/297517
Sayu,Support,C,https://game8.co/games/Genshin-Impact/archives/333496
Candace,Support,C,https://game8.co/games/Genshin-Impact/archives/386384
Thoma,Support,C,https://game8.co/games/Genshin-Impact/archives/337141
Rosaria,Support,C,https://game8.co/games/Genshin-Impact/archives/314177
Kaveh,Main DPS,D,https://game8.co/games/Genshin-Impact/archives/Kaveh-Best-Builds
Freminet,Main DPS,D,https://game8.co/games/Genshin-Impact/archives/417207
